DATE,GDPC1,FGOVTR,FFR,NETEXP,MDOAH,CPI,DGS10,unrate,IP,PD
1/1/1966,4406.693,98.692,4.556666667,4.367,356093,32.04666667,4.773968254,3.866666667,34.47753333,40.33999
4/1/1966,4421.747,102.972,4.913333333,4.632,363471,32.33666667,4.782063492,3.833333333,35.19753333,39.26763
7/1/1966,4459.195,104.296,5.41,2.687,369165,32.61666667,5.14609375,3.766666667,35.74213333,39.62091
10/1/1966,4495.777,106.272,5.563333333,3.765,373695,32.88333333,4.998,3.7,36.08366667,39.51977
1/1/1967,4535.591,105.788,4.823333333,4.453,376934,32.96666667,4.579672131,3.833333333,35.88486667,39.20383
4/1/1967,4538.37,105.568,3.99,4.219,382135,33.16666667,4.8284375,3.833333333,35.73863333,38.03292
7/1/1967,4581.309,108.372,3.893333333,3.302,389396,33.5,5.246984127,3.8,35.98446667,38.82145
10/1/1967,4615.853,111.94,4.173333333,2.244,396864,33.86666667,5.641803279,3.9,36.94736667,39.10231
1/1/1968,4709.993,118.228,4.786666667,1.054,402736,34.2,5.610967742,3.733333333,37.47476667,38.42951
4/1/1968,4788.688,121.904,5.98,1.749,409458,34.53333333,5.746129032,3.566666667,37.97996667,36.96379
7/1/1968,4825.799,132.152,5.943333333,1.65,417114,35,5.45859375,3.533333333,38.2747,37.30897
10/1/1968,4844.779,136.584,5.916666667,0.945,424519,35.43333333,5.767741935,3.4,38.8559,36.98532
1/1/1969,4920.605,143.02,6.566666667,0.239,428741,35.86666667,6.170983607,3.4,39.6118,36.19577
4/1/1969,4935.564,145.064,8.326666667,1.104,435471,36.43333333,6.356984127,3.433333333,39.78466667,34.97403
7/1/1969,4968.164,141.652,8.983333333,1.231,443256,36.93333333,6.856825397,3.566666667,40.26226667,35.01946
10/1/1969,4943.935,142.068,8.94,3.149,450484,37.5,7.310491803,3.566666667,40.00983333,35.46954
1/1/1970,4936.594,135.748,8.573333333,3.514,462501,38.1,7.375166667,4.166666667,39.0405,35.38879
4/1/1970,4943.6,136.872,7.88,5.207,477510,38.63333333,7.71,4.766666667,38.82576667,34.67329
7/1/1970,4989.159,132.8,6.703333333,4.088,489121,39.03333333,7.45796875,5.166666667,38.68673333,34.86717
10/1/1970,4935.693,132.3,5.566666667,2.985,498474,39.6,6.846065574,5.833333333,37.8504,35.74822
1/1/1971,5069.746,133.248,3.856666667,4.57,505427,39.93333333,5.999508197,5.933333333,38.58016667,34.50345
4/1/1971,5097.179,134.872,4.563333333,-0.401,518665,40.3,6.251587302,5.9,38.9296,34.36089
7/1/1971,5139.128,135.276,5.473333333,0.236,531816,40.7,6.48546875,6.033333333,39.04963333,35.00694
10/1/1971,5151.245,137.648,4.75,-1.92,544519,41,5.888032787,5.933333333,39.9548,35.63237
